id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50679919,Guest suite in Washington · ★4.86 · 1 bedroom · 1 bed · 1 bath,105386672,Emma,,"Union Station, Stanton Park, Kingman Park",38.9,-76.98953,Entire home/apt,77,2,86,2023-02-22,3.33,1,0,22,Hosted License: 5007242201001944
50682965,Guest suite in Washington · ★4.87 · 1 bedroom · 2 beds · 1 bath,2627841,Drew,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90985,-77.01046,Entire home/apt,121,2,67,2023-07-30,2.51,1,60,27,Hosted License: 5007242201000778
50683029,Rental unit in Washington · ★4.67 · 2 bedrooms · 3 beds · 1 bath,11443794,Hibiscus,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92262,-77.02539,Entire home/apt,89,31,6,2022-08-21,0.34,2,34,0,
50684244,Rental unit in Washington · ★5.0 · Studio · 3 beds · 1 bath,32713202,Peter,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91509,-77.01134,Entire home/apt,157,2,95,2023-09-03,3.65,2,32,48,Hosted License: 5007242201000780
50694792,Home in Washington · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,8519659,Rita,,"Capitol Hill, Lincoln Park",38.8830836,-76.995886,Entire home/apt,572,1,49,2023-09-12,3.93,2,46,47,Hosted License: 5007242201001823
50695713,Townhouse in Washington · ★4.76 · 3 bedrooms · 4 beds · 1.5 baths,3532124,District Cottage,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93061,-77.02177,Entire home/apt,240,1,121,2023-08-26,4.52,8,43,47,Hosted License: 5007242201000488
50703249,Home in Washington · 3 bedrooms · 3 beds · 2.5 baths,4391573,Ricardo,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91584,-77.01035,Entire home/apt,355,3,1,2021-09-11,0.04,3,83,0,Hosted License: 5007242201001965
50705769,Condo in Washington · 1 bedroom · 1 bed · 1 bath,9746302,Alissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91317,-77.03677,Entire home/apt,120,180,0,,,1,0,0,
50719072,Condo in Washington · ★5.0 · 1 bedroom · 1 private bath,57511692,Lea,,"Takoma, Brightwood, Manor Park",38.95643,-77.00948,Private room,51,60,3,2021-12-10,0.12,1,75,0,
50733128,Rental unit in Washington · 1 bedroom · 2 beds · 1 bath,182851117,Brian And Dionne,,"Dupont Circle, Connecticut Avenue/K Street",38.91642,-77.03639,Entire home/apt,105,31,2,2021-09-07,0.08,5,217,0,
50733800,Guesthouse in Washington · ★4.86 · Studio · 1 bed · 1 bath,2298713,Alexander,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91844,-77.03342,Entire home/apt,143,1,139,2023-08-24,5.42,1,121,64,Hosted License: 5007242201000561
50746080,Home in Washington · ★4.82 · 3 bedrooms · 4 beds · 2 baths,28274998,Rhianna,,"Capitol View, Marshall Heights, Benning Heights",38.87925,-76.94228,Entire home/apt,188,1,154,2023-08-22,5.86,10,143,51,Hosted License: 5007242201000824<br />Unhosted License: 5007262201000825
50751282,Serviced apartment in Washington · ★4.90 · 1 bedroom · 3 beds · 1 bath,33522984,Nerece,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93092,-77.02033,Entire home/apt,130,3,51,2023-08-14,2.09,1,59,14,Hosted License: 5007242201001218
50772751,casa particular in Washington · ★4.88 · 1 bedroom · 1 bed · 1 private bath,136047340,Juan,,Historic Anacostia,38.86107,-76.98585,Private room,77,1,104,2023-08-12,4.11,1,167,37,Hosted License: 5007242201001718
50778533,Home in Washington · ★4.95 · 2 bedrooms · 3 beds · 2 baths,34607703,Janesh,,"Brookland, Brentwood, Langdon",38.92714,-76.98619,Entire home/apt,249,2,81,2023-09-06,3.17,1,131,29,Hosted License: 5007242201000877
50781156,Rental unit in Washington · ★4.84 · 1 bedroom · 1 bed · 1 bath,269872084,Daniela,,"Friendship Heights, American University Park, Tenleytown",38.95852,-77.08419,Entire home/apt,135,3,70,2022-12-12,2.62,2,346,13,Hosted License: 5007242201001103
50844635,Condo in Washington · ★4.80 · 1 bedroom · 2 beds · 1 bath,411041961,Janice,,"Dupont Circle, Connecticut Avenue/K Street",38.91752,-77.03691,Entire home/apt,149,31,10,2021-11-07,0.38,1,365,0,
50847232,Rental unit in Washington · ★4.98 · 2 bedrooms · 2 beds · 1 bath,31791599,Suzanne,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91622,-77.02879,Entire home/apt,320,2,102,2023-09-01,4.34,1,292,56,Hosted License: 5007242201000035<br />Unhosted License: 5007262201000036
50856741,Rental unit in Washington · ★4.92 · 2 bedrooms · 3 beds · 1 bath,23805559,Michael,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92247,-77.0099,Entire home/apt,146,2,104,2023-08-17,4.39,1,341,46,Hosted License: 5007242201001050
50875772,Rental unit in Washington · ★4.60 · 4 bedrooms · 4 beds · 3 baths,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.9022,-77.03747,Entire home/apt,1170,31,5,2023-08-04,0.36,20,206,4,Exempt
50875966,Rental unit in Washington · ★4.50 · 4 bedrooms · 5 beds · 3 baths,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.90251,-77.03736,Entire home/apt,1582,31,4,2023-07-27,0.18,20,200,2,Exempt
50877560,Guest suite in Washington · ★4.94 · 1 bedroom · 2 beds · 1 bath,96456433,Jenna,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.935925,-77.029922,Entire home/apt,106,1,31,2023-06-18,1.18,13,353,13,Hosted License: 5007242201000501
50903143,Rental unit in Washington · ★4.67 · 1 bedroom · 2 beds · 1 bath,70587064,Dennis,,"Capitol Hill, Lincoln Park",38.89143,-76.99668,Entire home/apt,85,31,3,2023-03-22,0.22,2,115,2,
50920850,Guest suite in Washington · ★4.98 · 2 bedrooms · 3 beds · 1 bath,96456433,Jenna,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.935925,-77.029922,Entire home/apt,154,1,46,2023-08-20,1.77,13,259,21,Hosted License: 5007242201000501
50935433,Rental unit in Washington · ★4.98 · 1 bedroom · 2 beds · 1 bath,1934857,T.,,"Capitol Hill, Lincoln Park",38.88951,-76.97855,Entire home/apt,121,3,52,2023-09-03,2.04,1,237,24,Hosted License: 5007242201001851<br />Unhosted License: 5007262201001852
50941983,Rental unit in Washington · ★4.78 · 1 bedroom · 2 beds · 1 bath,69203193,Leyla & Matt,,"Dupont Circle, Connecticut Avenue/K Street",38.9185905456543,-77.03758239746094,Entire home/apt,75,31,9,2023-08-06,0.41,37,327,5,
