listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,review_scores_value
3686,83,2,0,2010-11-01,2023-07-21,4.64,4.73,4.45,4.91,4.84,3.89,0.53,4.63
3943,480,37,3,2009-05-10,2023-09-05,4.83,4.89,4.92,4.94,4.91,4.57,2.75,4.75
4197,56,10,1,2009-05-14,2023-08-27,4.85,4.98,4.87,5.0,4.98,4.96,0.32,4.94
4529,102,0,0,2009-08-08,2019-07-05,4.66,4.8,4.6,4.93,4.93,4.51,0.59,4.83
4967,31,0,0,2010-11-04,2016-09-22,4.74,4.68,4.89,4.93,4.93,4.21,0.2,4.64
5589,96,1,1,2009-09-22,2023-08-17,4.5,4.71,4.13,4.82,4.82,4.91,0.56,4.44
6165,23,1,0,2010-05-16,2023-07-03,4.95,4.87,4.87,5.0,4.8,4.53,0.14,4.87
7103,93,0,0,2010-03-21,2022-06-03,4.79,4.77,4.87,4.94,4.9,4.79,0.57,4.81
11785,412,0,0,2010-01-12,2022-06-27,4.59,4.65,4.6,4.86,4.88,4.83,2.48,4.59
12442,117,2,0,2010-03-12,2023-07-01,4.61,4.73,4.7,4.86,4.84,4.82,0.71,4.57
13744,35,3,0,2010-04-11,2022-09-28,4.85,4.94,4.85,5.0,4.97,4.88,0.21,4.82
14218,104,3,0,2011-05-01,2023-06-02,4.62,4.74,4.63,4.9,4.87,4.89,0.69,4.67
17131,106,1,0,2010-03-24,2023-03-23,4.66,4.56,4.73,4.78,4.85,4.77,0.65,4.65
24712,190,33,1,2011-09-12,2023-08-21,4.27,4.34,4.33,4.59,4.35,4.47,1.3,4.39
26147,9,0,0,2010-05-02,2018-08-20,4.5,4.4,4.4,4.8,4.6,4.4,0.06,4.4
27281,15,0,0,2010-06-11,2016-07-14,4.77,4.5,4.25,4.75,4.75,5.0,0.09,4.75
27682,11,0,0,2010-05-12,2022-08-13,5.0,4.6,4.8,5.0,5.0,4.2,0.07,4.4
32087,16,1,0,2011-09-25,2023-01-29,4.86,4.85,4.92,5.0,5.0,4.85,0.11,4.85
52092,196,0,0,2010-09-26,2022-08-11,4.35,4.45,4.51,4.71,4.55,4.57,1.24,4.47
62122,125,14,0,2012-08-31,2023-06-25,4.85,4.83,4.63,4.85,4.9,4.93,0.93,4.86
65024,11,0,0,2017-03-26,2021-12-01,4.09,4.36,3.55,4.45,4.45,4.64,0.14,4.09
67483,163,2,0,2011-02-06,2023-08-01,4.51,4.7,4.48,4.71,4.75,4.61,1.06,4.53
72454,276,40,2,2011-03-03,2023-09-04,4.33,4.45,4.41,4.58,4.46,4.5,1.81,4.46
78264,48,6,0,2012-08-31,2023-08-07,4.69,4.72,4.57,4.91,4.87,4.45,0.36,4.57
79866,10,0,0,2011-04-05,2016-08-27,4.89,4.4,4.9,4.9,4.7,4.1,0.07,4.5
79867,10,0,0,2011-11-18,2016-09-30,4.9,4.8,4.9,4.9,4.9,4.2,0.07,4.6
93551,103,1,0,2011-04-19,2023-07-30,4.74,4.77,4.46,4.92,4.94,4.54,0.68,4.58
116951,85,3,0,2011-06-04,2023-08-06,4.68,4.73,4.42,4.86,4.84,4.55,0.57,4.49
150109,31,0,0,2011-11-04,2022-03-01,4.83,4.9,4.69,5.0,4.97,4.97,0.21,4.76
