id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15058397,Beautiful English Bsmt on a Park,27737761,Bryan,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91669,-77.00863,Entire home/apt,138,2,80,2024-03-17,0.88,1,0,24,Hosted License: 5007242201000431
15063053,"10am✅IN/5pm✅OUT. Walkable,Sunny Garden Apt in Shaw",14062357,Son,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91222,-77.01572,Entire home/apt,137,2,185,2024-03-15,4.50,1,47,54,Hosted License: 5007242201000162
15080581,Wonk On The Hill Apartment,86600663,Molly,,"Union Station, Stanton Park, Kingman Park",38.89424,-76.99823,Entire home/apt,185,5,223,2024-03-21,2.44,1,15,14,Hosted License: 5007242201001950
15081446,"Beautiful 3 bd/2/5 br near Metro, Capitol Heights",41809632,Robel,,"Capitol View, Marshall Heights, Benning Heights",38.889,-76.91926,Entire home/apt,225,3,123,2024-03-05,1.37,1,310,28,Hosted License: 5007242201002511
15092261,Uniquely Styled Eclectic House in the Heart of DC,25338996,Greg,,"Brightwood Park, Crestwood, Petworth",38.93924,-77.03108,Entire home/apt,270,2,100,2024-03-17,1.15,1,259,29,Hosted License: 5007242201000613
15128321,Lux Basement Apartment Near Metro & Hwy.,19812987,Shandell,,"Eastland Gardens, Kenilworth",38.90951,-76.9383,Entire home/apt,88,3,7,2024-03-17,1.37,1,201,7,Hosted License: 5007242201002952
15165917,Location location location,44949993,Mike,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92875,-77.02165,Private room,48,31,130,2023-08-15,1.43,9,365,1,
15194332,GEM in the heart of the City !,96476055,Geary,,"West End, Foggy Bottom, GWU",38.90624,-77.04689,Entire home/apt,184,31,231,2022-10-30,2.54,1,364,0,
15205271,Medical/Biz Professionals: private bed/bath/entry,27373538,Steven,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92184,-77.00946,Private room,97,10,290,2022-07-24,3.19,1,17,0,Hosted License: 5007242201001463
15206984,Private Room Twin over Twin beds,44949993,Mike,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92853,-77.02159,Private room,47,31,59,2022-05-08,0.65,9,365,0,
15209243,Private Room,44949993,Mike,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92674,-77.02389,Private room,48,90,153,2021-01-14,1.68,9,253,0,
15218873,Charming Capitol Hill Studio - Amazing Location!,43014415,Boaz,,"Capitol Hill, Lincoln Park",38.88375,-77.00488,Entire home/apt,228,2,219,2024-03-18,2.40,1,162,26,Hosted License: 5007242201001484
15220694,"Cozy, Quiet Townhome, Minutes to National Museums",48287191,Vikki,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86809,-76.97452,Entire home/apt,170,31,134,2022-05-15,1.49,1,88,0,
15235217,The Green Room A Cozy Basement Studio 420 Friendly,96846593,Tene,,"Brookland, Brentwood, Langdon",38.93035,-76.97936,Entire home/apt,84,2,28,2024-02-27,0.57,1,348,25,Hosted License: 5007242201002468
15238910,Studio Apt with Mini Art Gallery,25859907,Felira,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91486,-77.0012,Entire home/apt,120,2,117,2023-10-29,1.29,1,84,17,Hosted License: 5007242201000875
15313139,"Bright roomy basement suite, NW DC",30928000,Barbara,,"Friendship Heights, American University Park, Tenleytown",38.95082,-77.09776,Private room,60,31,24,2021-11-30,0.27,1,295,0,
15328533,★Free Parking• Queen Bed •Cozy Getaway With Patio★,7882953,Escale,,"North Michigan Park, Michigan Park, University Heights",38.94844,-76.99011,Private room,60,3,90,2024-03-19,0.99,3,329,3,Hosted License: 5007242201002134
