listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
43676824,269834634,4,38.91353,-77.04743,2,1.0,0.0,1.0,127.0
43676905,269834634,13,38.91407,-77.0455,2,1.0,1.0,1.0,137.0
43703449,349110258,29,38.87012,-76.9844,2,1.0,1.0,1.0,50.0
43730156,17970511,1,38.91658,-77.01053,6,1.0,2.0,3.0,155.0
43767520,5798600,36,38.93552,-76.97227,12,4.5,6.0,12.0,446.0
43767651,176970521,13,38.89995,-77.04038,2,1.5,1.0,1.0,346.0
43767660,176970521,13,38.89901,-77.03949,4,2.0,2.0,2.0,422.0
43770692,951119,24,38.86616,-77.01106,5,2.0,2.0,4.0,139.0
43778862,22735045,9,38.90646,-77.02767,2,1.0,1.0,1.0,120.0
43842273,107434423,23,38.90099439999999,-77.04957859999999,2,,1.0,,
43868902,183975299,2,38.89024,-76.99929,4,1.0,1.0,2.0,171.0
43884836,6320930,2,38.8883,-76.99515,4,1.0,1.0,2.0,217.0
43939342,6762981,5,38.93728,-77.03046,4,1.0,0.0,2.0,97.0
43982311,28998266,2,38.88938,-77.00071,2,,1.0,,
44004664,17633,17,38.91122,-77.06081,5,3.0,3.0,3.0,280.0
44063409,266565827,23,38.89925,-77.05346,3,,,,
44119683,40622360,16,38.89695,-77.00148,2,1.0,1.0,1.0,129.0
44119904,40622360,16,38.8975,-77.00259,2,1.0,1.0,2.0,139.0
44120058,40622360,16,38.89605,-77.00355,3,1.0,1.0,2.0,159.0
44134766,1219601,2,38.88405,-77.00124,4,,2.0,,
44138589,119715979,7,38.92158,-77.07432,4,1.0,2.0,4.0,140.0
44207610,39930655,2,38.88082,-76.99889,2,1.0,1.0,1.0,175.0
44207611,39930655,2,38.88099,-77.0,4,1.0,1.0,1.0,141.0
44207617,39930655,2,38.88109,-76.99847,4,1.0,1.0,1.0,150.0
44223406,294545484,16,38.89519211108124,-76.9881700226962,1,0.0,5.0,1.0,58.0
44272586,67517380,30,38.8982,-76.94174,10,2.5,5.0,6.0,393.0
44378904,227194376,31,38.9055061340332,-76.98165130615234,10,3.0,3.0,3.0,307.0
44380863,64827706,18,38.92672,-77.02801,2,1.0,1.0,1.0,88.0
44389677,4431837,0,38.86299,-76.98801,2,1.0,1.0,1.0,132.0
44406268,67772223,25,38.95919,-77.07264,1,2.5,2.0,2.0,150.0
44406768,12928262,4,38.91354,-77.04797,5,1.0,2.0,3.0,200.0
44433902,6165522,3,38.90734,-76.94517,1,1.0,1.0,1.0,45.0
44443615,73794838,21,38.88991,-76.9593,2,1.0,0.0,1.0,88.0
44465992,127034950,9,38.91263961791992,-77.03160858154297,6,,2.0,,
44483573,44949993,18,38.92807,-77.0238,2,2.5,1.0,1.0,51.0
44485729,46630199,10,38.91552,-77.02571,2,1.0,1.0,1.0,141.0
44512783,4691074,26,38.948692321777344,-76.99079132080078,2,1.0,1.0,3.0,104.0
44517251,270957643,16,38.89328,-76.99387,2,,1.0,,
44519337,127034950,9,38.91274642944336,-77.03128051757812,2,,,,
44519348,127034950,9,38.91263961791992,-77.03160858154297,2,1.0,0.0,1.0,177.0
44521112,142483193,1,38.91837,-77.01247,4,1.0,1.0,1.0,87.0
44521751,2401817,13,38.91536,-77.03728,2,1.0,1.0,1.0,94.0
44559749,360585434,2,38.88253,-76.99015,2,1.0,0.0,1.0,115.0
44597062,22088881,13,38.91156,-77.04845,3,1.0,1.0,2.0,151.0
44646998,14359760,28,38.93276,-76.99287,4,1.0,2.0,3.0,130.0
44659351,1644999,21,38.892288263092624,-76.95808667759992,4,1.0,3.0,2.0,189.0
44666220,452114819,9,38.91263961791992,-77.03160858154297,4,1.0,1.0,2.0,213.0
44678950,4999841,11,38.97112,-77.02392,6,2.5,3.0,3.0,306.0
44750418,292538124,34,38.82561,-76.99927,4,1.0,0.0,2.0,100.0
44998059,39930655,13,38.90738,-77.03541,4,,3.0,,
44998087,39930655,9,38.90793,-77.03407,5,,2.0,,
45001556,203125886,5,38.94284,-77.03603,6,3.5,4.0,5.0,375.0
45076792,487806,17,38.90967,-77.06451,8,3.5,3.0,5.0,197.0
45076831,487806,17,38.91131,-77.06441,6,2.5,2.0,3.0,131.0
45097082,33378245,14,38.88681,-76.93201,2,1.0,0.0,1.0,98.0
45097884,6165522,3,38.90594,-76.9467,6,2.5,2.0,2.0,174.0
45118225,1001532,2,38.88485,-76.99083,4,2.5,2.0,2.0,350.0
45177682,172416408,2,38.88062,-76.99156,4,1.0,1.0,2.0,130.0
45185261,364922886,16,38.89614,-76.99496,6,1.0,1.0,3.0,211.0
45218692,73159980,11,38.96347,-77.02122,1,1.5,1.0,1.0,53.0
45223908,745305,11,38.96857,-77.03324,3,1.0,1.0,2.0,133.0
45291574,56708981,9,38.90918835550242,-77.02578553453587,4,1.0,1.0,2.0,172.0
45304193,366169291,29,38.86982,-76.98084,3,1.0,1.0,2.0,81.0
