listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,review_scores_value
1071813911143573502,12,12,1,2024-02-26,2024-05-27,4.33,4.25,4.5,4.75,4.58,3.75,3.08,4.17
1071820910926347270,4,4,2,2024-05-12,2024-06-02,4.75,4.25,4.75,4.75,4.75,5.0,2.93,4.75
1071897532522102811,11,11,1,2024-01-27,2024-05-27,5.0,5.0,5.0,4.91,4.82,4.91,2.24,4.64
1072575309856926171,0,0,0,,,,,,,,,,
1073251436428984306,4,4,4,2024-05-23,2024-06-18,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
1073294701391347606,0,0,0,,,,,,,,,,
1073299626514478908,0,0,0,,,,,,,,,,
1073883353514545857,18,18,3,2024-02-18,2024-06-17,4.94,5.0,5.0,5.0,5.0,4.78,4.32,5.0
1074649438144952678,18,18,2,2024-02-11,2024-06-18,4.83,4.83,5.0,4.94,5.0,5.0,4.09,4.83
1074770787718081283,0,0,0,,,,,,,,,,
1074772878742415832,11,11,5,2024-02-17,2024-06-02,4.36,4.45,4.45,4.55,4.18,4.91,2.62,4.27
1074772878855449348,0,0,0,,,,,,,,,,
1074780183371973693,0,0,0,,,,,,,,,,
1074910200456865482,1,1,0,2024-05-06,2024-05-06,5.0,5.0,5.0,5.0,5.0,5.0,0.64,5.0
1074973699465432072,17,17,4,2024-03-03,2024-06-16,4.59,4.88,4.75,4.81,5.0,4.31,4.59,4.56
1075305883528327460,33,33,6,2024-01-28,2024-06-17,5.0,4.97,4.91,4.97,5.0,4.97,6.78,4.91
1075459817337803681,15,15,1,2024-03-09,2024-06-10,5.0,5.0,4.93,4.93,5.0,4.87,4.29,4.67
1075470257141653267,0,0,0,,,,,,,,,,
1075502518122614411,0,0,0,,,,,,,,,,
1076137192232169865,0,0,0,,,,,,,,,,
1076175350576901897,42,42,1,2024-04-18,2024-05-22,4.69,4.88,4.9,4.69,4.64,4.86,19.38,4.52
1076181541177016366,10,10,0,2024-04-20,2024-05-20,4.3,4.6,4.9,3.9,4.3,4.6,4.76,4.2
1076184845894103101,4,4,0,2024-04-19,2024-05-10,3.75,4.5,4.75,4.0,3.0,4.5,1.88,3.5
1076192350214037598,10,10,0,2024-04-21,2024-05-20,4.6,4.6,4.6,4.3,4.4,4.5,4.84,4.4
1076194315466924925,42,42,6,2024-04-18,2024-05-29,4.64,4.71,4.86,4.52,4.43,4.88,19.38,4.5
1076194560359869983,0,0,0,,,,,,,,,,
1076200371302651222,10,10,2,2024-04-20,2024-05-27,4.8,4.9,5.0,4.9,4.9,4.9,4.76,4.9
1076252048672735332,1,1,0,2024-03-30,2024-03-30,5.0,5.0,5.0,5.0,5.0,5.0,0.36,4.0
1076974393815859316,19,19,2,2024-02-04,2024-06-04,4.89,4.89,5.0,4.79,4.89,4.53,4.1,4.84
1077682328841144237,21,21,2,2024-01-31,2024-06-03,4.86,4.9,4.9,4.9,4.9,4.67,4.41,4.81
1077703215156004725,2,2,2,2024-06-03,2024-06-09,5.0,5.0,5.0,4.0,5.0,3.5,2.0,4.5
1078547371275987657,15,15,3,2024-02-25,2024-06-01,5.0,4.87,4.93,4.93,5.0,5.0,3.81,4.8
1079228981971974460,26,26,3,2024-02-16,2024-06-18,4.73,4.6,4.8,5.0,4.92,4.96,6.14,4.6
1079942586575259861,0,0,0,,,,,,,,,,
1080368863878530390,15,15,1,2024-02-19,2024-06-03,4.73,4.8,4.73,4.87,4.93,4.53,3.63,4.6
1080436446642705737,4,4,0,2024-03-15,2024-04-17,3.75,4.0,4.5,4.25,4.75,3.75,1.21,4.0
1080443082838622139,0,0,0,,,,,,,,,,
1080455371350648679,4,4,0,2024-03-03,2024-05-20,4.75,5.0,5.0,5.0,5.0,3.25,1.08,4.75
1080599324753858713,1,1,0,2024-04-22,2024-04-22,5.0,5.0,5.0,5.0,5.0,5.0,0.49,5.0
1080734128358454629,0,0,0,,,,,,,,,,
1081176718740291963,0,0,0,,,,,,,,,,
1081481406758284755,19,19,4,2024-03-08,2024-06-16,4.89,4.94,4.88,5.0,4.82,5.0,5.38,4.82
1081521771171263619,2,2,0,2024-03-22,2024-05-17,5.0,5.0,5.0,5.0,5.0,4.5,0.65,5.0
1081878272421955304,0,0,0,,,,,,,,,,
1081878466322994581,27,27,6,2024-02-13,2024-06-05,4.56,4.74,4.85,4.74,4.52,4.78,6.23,4.3
1081878502030246870,1,1,0,2024-02-18,2024-02-18,5.0,5.0,5.0,5.0,5.0,5.0,0.24,3.0
1081879047972292925,3,3,0,2024-02-25,2024-05-05,4.33,5.0,4.67,5.0,4.67,5.0,0.76,4.33
1081879672753922000,16,16,3,2024-02-18,2024-05-28,4.44,4.31,4.69,4.63,4.19,4.81,3.84,4.31
1082135185180589035,12,12,1,2024-02-09,2024-05-25,4.58,4.42,4.42,4.75,4.83,4.58,2.69,4.17
1082593237760583644,19,19,6,2024-03-24,2024-06-20,4.79,4.78,5.0,4.89,4.67,4.72,6.33,4.67
1082618933461311910,3,3,1,2024-03-30,2024-06-01,5.0,5.0,5.0,5.0,5.0,5.0,1.07,4.67
1082623666941606177,0,0,0,,,,,,,,,,
1082700478516829531,10,10,0,2024-03-11,2024-05-08,5.0,4.9,4.9,4.8,5.0,5.0,2.91,4.9
1082710626566647977,6,6,1,2024-02-19,2024-05-26,4.83,5.0,4.5,4.83,5.0,4.83,1.45,5.0
1082928029984115193,19,19,3,2024-02-24,2024-06-03,4.95,4.84,4.95,5.0,5.0,4.16,4.79,4.74
1083066214273133508,25,25,7,2024-03-03,2024-06-19,4.96,4.96,4.96,5.0,5.0,4.83,6.76,5.0
1083206657876115945,0,0,0,,,,,,,,,,
1083317056273444621,10,10,3,2024-04-17,2024-06-01,5.0,5.0,4.9,4.7,5.0,4.8,4.55,5.0
1083450052072711754,1,1,0,2024-02-25,2024-02-25,5.0,5.0,5.0,5.0,5.0,4.0,0.25,5.0
1084370022371848040,31,31,5,2024-02-10,2024-06-12,4.97,5.0,5.0,4.97,5.0,4.9,6.99,4.87
1085132401701394470,15,15,7,2024-05-03,2024-06-11,4.73,4.87,4.87,4.67,4.87,4.33,9.0,4.8
1085504757875900657,12,12,2,2024-03-23,2024-06-03,4.92,4.92,4.67,5.0,5.0,5.0,3.96,4.92
1085652063770391987,20,20,7,2024-03-03,2024-06-18,4.8,4.95,4.9,4.95,5.0,5.0,5.41,4.9
1085910812287574967,19,19,2,2024-02-18,2024-05-25,5.0,4.89,5.0,4.79,4.84,4.79,4.56,4.79
1086846601875212143,16,16,5,2024-03-03,2024-06-17,4.69,4.75,4.88,4.94,4.94,4.88,4.32,4.88
1086905275268678723,9,9,4,2024-04-17,2024-06-15,4.78,4.89,4.78,5.0,5.0,4.56,4.09,4.89
1087731692806205734,11,11,2,2024-03-17,2024-06-16,5.0,5.0,5.0,5.0,5.0,5.0,3.4,5.0
1087801529434281995,22,22,3,2024-02-11,2024-06-11,4.73,4.91,4.86,4.95,4.95,4.91,5.0,4.45
1087890235577869684,6,6,0,2024-03-17,2024-04-28,5.0,5.0,4.83,5.0,5.0,4.83,1.86,4.5
1088301912963205248,34,34,7,2024-02-19,2024-06-20,5.0,5.0,5.0,5.0,5.0,4.97,8.23,4.97
1088313926389442731,4,4,2,2024-03-01,2024-06-06,5.0,5.0,5.0,5.0,5.0,5.0,1.06,5.0
1088472671764397530,0,0,0,,,,,,,,,,
1089087243621939932,31,31,12,2024-02-18,2024-06-16,4.84,4.97,4.93,4.97,4.93,4.63,7.44,4.8
1089851023480385700,1,1,0,2024-05-05,2024-05-05,5.0,5.0,5.0,5.0,5.0,5.0,0.63,5.0
1089958725286315079,0,0,0,,,,,,,,,,
1089991601947245630,1,1,1,2024-06-01,2024-06-01,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
1090086760555266673,42,42,10,2024-02-18,2024-06-16,4.98,4.98,5.0,5.0,5.0,4.71,10.08,4.98
1090178683455495857,1,1,0,2024-05-15,2024-05-15,5.0,5.0,5.0,4.0,5.0,5.0,0.79,5.0
1090178898738784286,3,3,0,2024-04-12,2024-04-22,4.67,5.0,5.0,5.0,5.0,5.0,1.27,5.0
1090179244912016634,4,4,1,2024-03-30,2024-05-27,5.0,5.0,5.0,5.0,5.0,5.0,1.43,4.75
1090179550720795687,3,3,0,2024-03-09,2024-04-14,4.67,4.33,4.33,5.0,5.0,5.0,0.86,4.67
1090570733100454486,1,1,0,2024-03-28,2024-03-28,5.0,5.0,5.0,5.0,5.0,5.0,0.35,5.0
1090846694594253876,0,0,0,,,,,,,,,,
1090853438893014206,0,0,0,,,,,,,,,,
1090861546937738728,0,0,0,,,,,,,,,,
1090890566878617169,10,10,2,2024-03-26,2024-06-04,4.9,4.9,4.9,5.0,5.0,5.0,3.41,4.7
1090956683437375204,10,10,0,2024-02-29,2024-05-13,4.2,4.3,4.7,4.7,4.8,3.9,2.63,4.2
1091176584629240329,1,1,1,2024-06-03,2024-06-03,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
1091176804025679094,0,0,0,,,,,,,,,,
1091178699533484486,0,0,0,,,,,,,,,,
1091179189886246737,0,0,0,,,,,,,,,,
1091448477608723684,20,20,5,2024-03-10,2024-06-15,4.9,4.84,4.74,4.89,4.89,4.95,5.77,4.84
1091776535034933996,10,10,6,2024-04-27,2024-06-19,5.0,5.0,5.0,5.0,5.0,4.5,5.36,4.7
1092037538674387771,1,1,0,2024-05-01,2024-05-01,5.0,5.0,5.0,5.0,5.0,3.0,0.58,4.0
