id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47443903,Townhouse in Washington · 1 bedroom · 1 bed · 1.5 shared baths,134907083,Shelly,,"Douglas, Shipley Terrace",38.84826,-76.98001,Private room,47,14,0,,,1,160,0,
48165017,Home in Washington · ★5.0 · Studio · 1 private bath,213035017,Soxx,,"Capitol View, Marshall Heights, Benning Heights",38.89143,-76.93098,Private room,50,90,3,2021-05-15,0.12,1,0,0,
47447394,Guest suite in Washington · ★4.92 · 1 bedroom · 1 bath,39698405,John,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90541,-76.98564,Entire home/apt,95,2,25,2022-08-18,1.51,1,0,4,Hosted License: 5007242201001671
48302019,Rental unit in Washington · ★4.92 · 1 bedroom · 2 beds · 1 bath,9680354,Adam,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.909116393648524,-77.015362061124,Entire home/apt,109,31,37,2022-10-23,1.32,11,289,3,Hosted License: 5007242201001021
48166180,Guest suite in Washington · ★4.96 · 1 bedroom · 3 beds · 1 bath,97552590,Andrew,,"North Michigan Park, Michigan Park, University Heights",38.93674,-76.99012,Entire home/apt,125,2,120,2023-06-04,4.32,1,206,55,"Hosted License: 5007242201000032
Unhosted License: 5007262201000033"
48313097,Boutique hotel in Washington · ★4.64 · Studio · 1 bed · 1 private bath,386101761,Hai,,"Shaw, Logan Circle",38.9081,-77.02269,Private room,171,1,109,2023-05-16,3.88,38,11,27,Exempt
47451426,Home in Washington · ★4.70 · 3 bedrooms · 3 beds · 2.5 baths,383058773,Alex,,Historic Anacostia,38.8658,-76.98126,Entire home/apt,299,5,10,2022-12-31,0.37,1,154,5,"Hosted License: 5007242201001683
Unhosted License: 5007262201001684"
48167321,Guest suite in Washington · ★4.92 · 1 bedroom · 1 bed · 1 bath,22296770,Swen,,"Shaw, Logan Circle",38.90918,-77.02068,Entire home/apt,178,2,133,2023-06-15,4.91,1,42,55,Hosted License: 5007242201001011
47467694,Serviced apartment in Washington · 1 bedroom · 2 beds · 1 bath,30283594,Global Luxury Suites,,"West End, Foggy Bottom, GWU",38.900692,-77.049126,Entire home/apt,479,31,1,2021-05-10,0.04,88,334,0,
47469231,Guest suite in Washington · ★4.79 · 1 bedroom · 1 bed · 1 bath,13401741,Patrick,,"Woodridge, Fort Lincoln, Gateway",38.93744,-76.97676,Entire home/apt,95,2,48,2023-05-23,1.69,1,253,18,Hosted License: 5007242201001123
48313254,Boutique hotel in Washington · ★4.50 · Studio · 1 bed · 1 private bath,386101761,Hai,,"Shaw, Logan Circle",38.90802,-77.02447,Private room,171,1,4,2023-04-08,0.14,38,13,2,Exempt
48324388,Boutique hotel in Washington · ★3.86 · Studio · 2 beds · 1 private bath,386101761,Hai,,"Shaw, Logan Circle",38.9078,-77.02333,Private room,171,1,7,2023-03-21,0.25,38,12,2,Exempt
48172430,Rental unit in Washington · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,70950157,Alex,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92043,-77.03173,Private room,40,31,10,2021-04-29,0.35,1,0,0,
48326333,Boutique hotel in Washington · ★4.35 · Studio · 2 beds · 1 private bath,386101761,Hai,,"Shaw, Logan Circle",38.90792,-77.02493,Private room,171,1,43,2023-05-07,1.53,38,9,4,Exempt
47469524,Guest suite in Washington · 1 bedroom · 1 bath,41509137,Abu,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86748,-76.98457,Entire home/apt,65,31,0,,,1,0,0,
48178490,Rental unit in Washington · 6 bedrooms · 1 bed · 0 shared baths,294545484,June,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92965204313574,-76.99534858592492,Private room,69,91,1,2021-05-10,0.04,178,181,0,
47486234,Home in Washington · ★4.90 · 3 bedrooms · 3 beds · 1.5 baths,10663585,Eduardo & Karen,,"Hawthorne, Barnaby Woods, Chevy Chase",38.962082,-77.070503,Entire home/apt,149,31,21,2023-03-31,0.99,2,200,4,
48334124,Rental unit in Washington · ★4.95 · 1 bedroom · 2 beds · 1 bath,7118788,Kat,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93553,-77.02991,Entire home/apt,105,2,57,2023-06-04,3.70,1,279,46,Hosted License: 5007242201001202
48179886,Rental unit in Washington · ★4.75 · 1 bedroom · 2 beds · 1 bath,170280723,Lee & Rush,,"Capitol Hill, Lincoln Park",38.89122,-76.99487,Entire home/apt,228,31,24,2023-05-06,0.95,3,90,14,Exempt
48344070,Guest suite in Washington · 1 bedroom · 1 private bath,4397261,Casey And Joel,,"North Cleveland Park, Forest Hills, Van Ness",38.95088,-77.05333,Private room,188,31,1,2021-03-03,0.04,1,0,0,
48184427,Rental unit in Washington · ★4.65 · 2 bedrooms · 3 beds · 2 baths,219493221,Sonder (D.C.),,"Near Southeast, Navy Yard",38.87773,-76.99532,Entire home/apt,333,2,52,2023-05-01,2.04,37,241,21,Exempt
47487277,Rental unit in Washington · ★4.50 · 1 bedroom · 1 bed · 1.5 baths,38694549,Valentin,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90519,-76.99207,Private room,75,3,6,2023-06-02,0.53,1,307,6,
47491462,Home in Washington · 4 bedrooms · 4 beds · 3.5 baths,19003407,Joseph,,"Union Station, Stanton Park, Kingman Park",38.89606,-76.99281,Entire home/apt,489,3,1,2023-04-19,0.49,1,48,1,Unhosted License: 5007262201002520
48206931,Boutique hotel in Washington · ★4.54 · Studio · 2 beds · 1 private bath,386101761,Hai,,"Shaw, Logan Circle",38.90945,-77.02445,Private room,171,1,97,2023-05-26,3.43,38,4,22,Exempt
47495263,Rental unit in Washington · ★4.82 · 1 bedroom · 2 beds · 1 bath,121774640,Morgan,,"Capitol View, Marshall Heights, Benning Heights",38.88578,-76.93622,Entire home/apt,99,4,39,2023-05-28,1.34,1,82,7,Hosted License: 5007242201000801
48359588,Townhouse in Washington · ★4.74 · 3 bedrooms · 5 beds · 2.5 baths,390351352,Patrick,,"Capitol Hill, Lincoln Park",38.88508,-77.009,Entire home/apt,321,31,54,2023-05-09,2.01,1,83,12,Exempt
48360662,Rental unit in Washington · ★4.54 · Studio · 2 beds · 1 bath,3474736,Sam,,"West End, Foggy Bottom, GWU",38.90213,-77.05103,Entire home/apt,120,31,37,2022-04-27,1.38,6,96,0,
48216250,Guest suite in Washington · ★4.90 · 1 bedroom · 2 beds · 1 bath,389033179,Aninda,,"Union Station, Stanton Park, Kingman Park",38.90088,-76.99047,Entire home/apt,175,2,144,2023-06-09,5.14,1,161,66,Hosted License: 5007242201001082
48380683,Guesthouse in Washington · ★4.95 · 4 bedrooms · 5 beds · 3 baths,9680354,Adam,,"Shaw, Logan Circle",38.91069,-77.02247,Entire home/apt,568,2,62,2023-06-09,2.22,11,295,52,Hosted License: 5007242201001021
48228623,Guest suite in Washington · ★4.50 · 2 bedrooms · 2 beds · 1 bath,380753283,D.J.,,"Congress Heights, Bellevue, Washington Highlands",38.82028,-77.00644,Entire home/apt,125,3,46,2023-04-02,1.63,2,348,15,Hosted License: 5007242201000558
48381544,Rental unit in Washington · ★4.65 · 1 bedroom · 2 beds · 1 bath,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.91454,-77.04494,Entire home/apt,153,1,86,2023-06-02,3.08,190,300,44,Hosted License: 5007242201000611
48383542,Rental unit in Washington · ★4.66 · 2 bedrooms · 3 beds · 2 baths,39930655,Team,,"Capitol Hill, Lincoln Park",38.88067,-76.99645,Entire home/apt,199,2,86,2023-06-03,3.15,190,301,44,Exempt
48392294,Condo in Washington · ★4.74 · 1 bedroom · 1 bed · 1 bath,83405429,Dominique,,"Brightwood Park, Crestwood, Petworth",38.941,-77.03203,Entire home/apt,112,31,23,2022-08-28,0.88,1,310,2,
47498455,Guest suite in Washington · ★4.76 · 1 bedroom · 1 bed · 1 bath,383399604,Nnenna Joy,,"Brightwood Park, Crestwood, Petworth",38.95969,-77.02961,Entire home/apt,63,1,179,2023-06-16,6.17,1,304,76,Exempt
47523463,Rental unit in Washington · 3 bedrooms · 1 bed · 0 shared baths,294545484,June,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91851,-77.02539,Private room,95,91,0,,,178,181,0,
48229150,Rental unit in Washington · ★4.86 · 1 bedroom · 1 bed · 1 bath,125692471,Maya,,"Capitol View, Marshall Heights, Benning Heights",38.88732,-76.93288,Entire home/apt,75,3,49,2023-05-31,1.97,1,0,27,Hosted License: 5007242201000655
